Interface                                Status    Vlan   Duplex   Speed     Type
---------------------------------------- --------  ----   -------  --------- ------
GigabitEthernet 1/1                      down      318    Unknown  Unknown   copper
GigabitEthernet 1/2                      up        318    Full     10M       copper
GigabitEthernet 1/3                      down      318    Unknown  Unknown   copper
GigabitEthernet 1/4                      up        318    Full     10M       copper
GigabitEthernet 1/5                      down      318    Unknown  Unknown   copper
GigabitEthernet 1/6                      up        318    Full     100M      copper
GigabitEthernet 1/7                      up        313    Full     1000M     copper
GigabitEthernet 1/8                      up        318    Full     1000M     copper
GigabitEthernet 1/9                      down      313    Unknown  Unknown   copper
GigabitEthernet 1/10                     down      318    Unknown  Unknown   copper
GigabitEthernet 1/11                     up        318    Full     100M      copper
GigabitEthernet 1/12                     down      318    Unknown  Unknown   copper
GigabitEthernet 1/13                     down      318    Unknown  Unknown   copper
GigabitEthernet 1/14                     down      318    Unknown  Unknown   copper
GigabitEthernet 1/15                     up        318    Full     1000M     copper
GigabitEthernet 1/16                     up        318    Full     10M       copper
GigabitEthernet 1/17                     up        318    Full     1000M     copper
GigabitEthernet 1/18                     down      318    Unknown  Unknown   copper
GigabitEthernet 1/19                     up        318    Full     1000M     copper
GigabitEthernet 1/20                     down      318    Unknown  Unknown   copper
GigabitEthernet 1/21                     up        318    Full     1000M     copper
GigabitEthernet 1/22                     up        318    Full     10M       copper
GigabitEthernet 1/23                     down      318    Unknown  Unknown   copper
GigabitEthernet 1/24                     up        318    Full     1000M     copper
GigabitEthernet 1/25                     down      1      Unknown  Unknown   fiber
GigabitEthernet 1/26                     down      1      Unknown  Unknown   fiber
GigabitEthernet 1/27                     down      1      Unknown  Unknown   fiber
GigabitEthernet 1/28                     down      1      Unknown  Unknown   fiber
GigabitEthernet 1/29                     down      1      Unknown  Unknown   fiber
GigabitEthernet 1/30                     down      1      Unknown  Unknown   fiber
GigabitEthernet 1/31                     down      1      Unknown  Unknown   fiber
GigabitEthernet 1/32                     down      1      Unknown  Unknown   fiber
GigabitEthernet 1/33                     down      1      Unknown  Unknown   fiber
GigabitEthernet 1/34                     down      1      Unknown  Unknown   fiber
GigabitEthernet 1/35                     down      1      Unknown  Unknown   fiber
GigabitEthernet 1/36                     down      1      Unknown  Unknown   fiber
GigabitEthernet 1/37                     down      1      Unknown  Unknown   fiber
GigabitEthernet 1/38                     down      1      Unknown  Unknown   fiber
GigabitEthernet 1/39                     down      1      Unknown  Unknown   fiber
GigabitEthernet 1/40                     down      1      Unknown  Unknown   fiber
GigabitEthernet 1/41                     down      1      Unknown  Unknown   fiber
GigabitEthernet 1/42                     down      1      Unknown  Unknown   fiber
GigabitEthernet 1/43                     down      1      Unknown  Unknown   fiber
GigabitEthernet 1/44                     down      1      Unknown  Unknown   fiber
GigabitEthernet 2/1                      up        318    Full     1000M     copper
GigabitEthernet 2/2                      up        318    Full     10M       copper
GigabitEthernet 2/3                      up        318    Full     1000M     copper
GigabitEthernet 2/4                      down      318    Unknown  Unknown   copper
GigabitEthernet 2/5                      up        318    Full     1000M     copper
GigabitEthernet 2/6                      up        318    Full     1000M     copper
GigabitEthernet 2/7                      down      318    Unknown  Unknown   copper
GigabitEthernet 2/8                      up        318    Full     1000M     copper
GigabitEthernet 2/9                      up        318    Full     1000M     copper
GigabitEthernet 2/10                     up        318    Full     1000M     copper
GigabitEthernet 2/11                     up        318    Full     1000M     copper
GigabitEthernet 2/12                     up        318    Full     100M      copper
GigabitEthernet 2/13                     down      318    Unknown  Unknown   copper
GigabitEthernet 2/14                     up        318    Full     1000M     copper
GigabitEthernet 2/15                     up        318    Full     1000M     copper
GigabitEthernet 2/16                     up        318    Full     1000M     copper
GigabitEthernet 2/17                     down      318    Unknown  Unknown   copper
GigabitEthernet 2/18                     down      318    Unknown  Unknown   copper
GigabitEthernet 2/19                     down      318    Unknown  Unknown   copper
GigabitEthernet 2/20                     up        318    Full     100M      copper
GigabitEthernet 2/21                     up        318    Full     1000M     copper
GigabitEthernet 2/22                     up        318    Full     1000M     copper
GigabitEthernet 2/23                     up        318    Full     1000M     copper
GigabitEthernet 2/24                     up        318    Full     1000M     copper
GigabitEthernet 2/25                     up        318    Full     1000M     copper
GigabitEthernet 2/26                     down      310    Unknown  Unknown   copper
GigabitEthernet 2/27                     down      318    Unknown  Unknown   copper
GigabitEthernet 2/28                     up        318    Full     1000M     copper
GigabitEthernet 2/29                     up        318    Full     1000M     copper
GigabitEthernet 2/30                     up        318    Full     1000M     copper
GigabitEthernet 2/31                     up        318    Full     1000M     copper
GigabitEthernet 2/32                     down      318    Unknown  Unknown   copper
GigabitEthernet 2/33                     down      318    Unknown  Unknown   copper
GigabitEthernet 2/34                     up        318    Full     1000M     copper
GigabitEthernet 2/35                     up        318    Full     1000M     copper
GigabitEthernet 2/36                     up        318    Full     1000M     copper
GigabitEthernet 2/37                     down      318    Unknown  Unknown   copper
GigabitEthernet 2/38                     down      318    Unknown  Unknown   copper
GigabitEthernet 2/39                     down      318    Unknown  Unknown   copper
GigabitEthernet 2/40                     up        318    Full     10M       copper
GigabitEthernet 2/41                     down      313    Unknown  Unknown   copper
GigabitEthernet 2/42                     down      318    Unknown  Unknown   copper
GigabitEthernet 2/43                     down      318    Unknown  Unknown   copper
GigabitEthernet 2/44                     down      318    Unknown  Unknown   copper
GigabitEthernet 2/45                     down      318    Unknown  Unknown   copper
GigabitEthernet 2/46                     down      318    Unknown  Unknown   copper
GigabitEthernet 2/47                     up        318    Full     10M       copper
GigabitEthernet 2/48                     down      318    Unknown  Unknown   copper
GigabitEthernet 3/1                      up        318    Full     100M      copper
GigabitEthernet 3/2                      up        318    Full     1000M     copper
GigabitEthernet 3/3                      up        318    Full     1000M     copper
GigabitEthernet 3/4                      up        318    Full     1000M     copper
GigabitEthernet 3/5                      up        318    Full     1000M     copper
GigabitEthernet 3/6                      down      318    Unknown  Unknown   copper
GigabitEthernet 3/7                      down      318    Unknown  Unknown   copper
GigabitEthernet 3/8                      up        318    Full     1000M     copper
GigabitEthernet 3/9                      down      318    Unknown  Unknown   copper
GigabitEthernet 3/10                     down      318    Unknown  Unknown   copper
GigabitEthernet 3/11                     down      318    Unknown  Unknown   copper
GigabitEthernet 3/12                     up        318    Full     1000M     copper
GigabitEthernet 3/13                     up        318    Full     1000M     copper
GigabitEthernet 3/14                     up        318    Full     1000M     copper
GigabitEthernet 3/15                     down      318    Unknown  Unknown   copper
GigabitEthernet 3/16                     down      318    Unknown  Unknown   copper
GigabitEthernet 3/17                     down      318    Unknown  Unknown   copper
GigabitEthernet 3/18                     down      318    Unknown  Unknown   copper
GigabitEthernet 3/19                     up        318    Full     1000M     copper
GigabitEthernet 3/20                     up        318    Full     1000M     copper
GigabitEthernet 3/21                     down      318    Unknown  Unknown   copper
GigabitEthernet 3/22                     down      318    Unknown  Unknown   copper
GigabitEthernet 3/23                     up        318    Full     1000M     copper
GigabitEthernet 3/24                     up        318    Full     1000M     copper
GigabitEthernet 3/25                     down      318    Unknown  Unknown   copper
GigabitEthernet 3/26                     down      318    Unknown  Unknown   copper
GigabitEthernet 3/27                     up        318    Full     1000M     copper
GigabitEthernet 3/28                     up        318    Full     100M      copper
GigabitEthernet 3/29                     up        318    Full     1000M     copper
GigabitEthernet 3/30                     up        318    Full     1000M     copper
GigabitEthernet 3/31                     down      318    Unknown  Unknown   copper
GigabitEthernet 3/32                     down      318    Unknown  Unknown   copper
GigabitEthernet 3/33                     up        318    Full     1000M     copper
GigabitEthernet 3/34                     up        318    Full     1000M     copper
GigabitEthernet 3/35                     up        318    Full     1000M     copper
GigabitEthernet 3/36                     down      318    Unknown  Unknown   copper
GigabitEthernet 3/37                     down      313    Unknown  Unknown   copper
GigabitEthernet 3/38                     down      318    Unknown  Unknown   copper
GigabitEthernet 3/39                     down      318    Unknown  Unknown   copper
GigabitEthernet 3/40                     up        313    Full     100M      copper
GigabitEthernet 3/41                     down      310    Unknown  Unknown   copper
GigabitEthernet 3/42                     down      312    Unknown  Unknown   copper
GigabitEthernet 3/43                     down      318    Unknown  Unknown   copper
GigabitEthernet 3/44                     down      312    Unknown  Unknown   copper
GigabitEthernet 3/45                     down      312    Unknown  Unknown   copper
GigabitEthernet 3/46                     down      313    Unknown  Unknown   copper
GigabitEthernet 3/47                     down      318    Unknown  Unknown   copper
GigabitEthernet 3/48                     up        318    Full     1000M     copper
GigabitEthernet 4/1                      up        318    Full     1000M     copper
GigabitEthernet 4/2                      up        313    Full     1000M     copper
GigabitEthernet 4/3                      down      318    Unknown  Unknown   copper
GigabitEthernet 4/4                      up        318    Full     1000M     copper
GigabitEthernet 4/5                      up        318    Full     1000M     copper
GigabitEthernet 4/6                      down      318    Unknown  Unknown   copper
GigabitEthernet 4/7                      down      318    Unknown  Unknown   copper
GigabitEthernet 4/8                      up        318    Full     10M       copper
GigabitEthernet 4/9                      down      318    Unknown  Unknown   copper
GigabitEthernet 4/10                     up        318    Full     1000M     copper
GigabitEthernet 4/11                     up        318    Full     1000M     copper
GigabitEthernet 4/12                     down      318    Unknown  Unknown   copper
GigabitEthernet 4/13                     down      318    Unknown  Unknown   copper
GigabitEthernet 4/14                     up        318    Full     1000M     copper
GigabitEthernet 4/15                     up        318    Full     1000M     copper
GigabitEthernet 4/16                     down      318    Unknown  Unknown   copper
GigabitEthernet 4/17                     up        318    Full     100M      copper
GigabitEthernet 4/18                     down      318    Unknown  Unknown   copper
GigabitEthernet 4/19                     up        318    Full     1000M     copper
GigabitEthernet 4/20                     up        318    Full     100M      copper
GigabitEthernet 4/21                     up        318    Full     1000M     copper
GigabitEthernet 4/22                     up        318    Full     1000M     copper
GigabitEthernet 4/23                     up        318    Full     1000M     copper
GigabitEthernet 4/24                     up        318    Full     100M      copper
GigabitEthernet 4/25                     up        318    Full     1000M     copper
GigabitEthernet 4/26                     up        318    Full     100M      copper
GigabitEthernet 4/27                     down      318    Unknown  Unknown   copper
GigabitEthernet 4/28                     down      318    Unknown  Unknown   copper
GigabitEthernet 4/29                     down      318    Unknown  Unknown   copper
GigabitEthernet 4/30                     up        390    Full     100M      copper
GigabitEthernet 4/31                     up        318    Full     100M      copper
